,fold,phase,epoch,loss,accuracy
195,2,val,7,1.7893714735382482,28.56
196,2,train,8,1.127923514566195,26.16
197,2,val,8,1.937414227347625,27.4
198,2,train,9,1.1102563161648673,35.17
199,2,val,9,1.8048174832996569,33.18
200,2,train,10,1.0914313204999335,45.53
201,2,val,10,1.7980158492138512,39.45
202,2,train,11,1.066902666576305,44.05
203,2,val,11,1.6580421915179804,35.0
204,2,train,12,1.041986448547771,38.29
205,2,val,12,2.0467736714764646,36.94
206,2,train,13,1.033578228864003,26.99
207,2,val,13,1.9104768401698062,27.07
208,2,train,14,1.0123367877701657,28.26
209,2,val,14,1.7005983111105467,28.06
210,2,train,15,0.994299823187272,40.51
211,2,val,15,1.8728372021725304,39.12
212,2,train,16,0.9615075095583707,38.99
213,2,val,16,1.9466890062156477,40.77
214,2,train,17,0.9615506424438356,42.88
215,2,val,17,2.0427932965128046,39.12
216,2,train,18,0.9228048686301803,53.06
217,2,val,18,1.7044755869790127,46.68
218,2,train,19,0.8881178129474218,42.63
219,2,val,19,1.6431824819037788,35.0
220,2,train,20,0.8685682173769204,50.26
221,2,val,20,2.229231326517306,41.93
222,2,train,21,0.8570896931641334,50.35
223,2,val,21,1.731349938166769,39.12
224,2,train,22,0.8437150518230524,48.89
225,2,val,22,1.7168373418481726,40.44
226,2,train,23,0.8151087140895446,54.58
227,2,val,23,1.886156067722722,43.08
228,2,train,24,0.7909056848617846,57.03
229,2,val,24,1.9735842369104686,40.44
230,2,train,25,0.7727243430460349,56.83
231,2,val,25,2.217445374476282,40.61
232,2,train,26,0.7415778014543503,61.61
233,2,val,26,1.947966720555958,43.74
234,2,train,27,0.7056809262935279,62.42
235,2,val,27,2.2467597180291228,43.08
236,2,train,28,0.6843890989479414,66.41
237,2,val,28,2.534730149883973,36.65
238,2,train,29,0.6430527893408622,67.76
239,2,val,29,2.1439268946647645,31.53
240,2,train,30,0.6132240741658651,63.89
241,2,val,30,2.5642661947953074,32.35
242,2,train,31,0.5895564095326024,67.07
243,2,val,31,3.3426073268840186,30.54
244,2,train,32,0.5592953177232856,75.05
245,2,val,32,3.2459438022814298,31.36
246,2,train,33,0.5297358409356631,74.1
247,2,val,33,2.740079244814421,38.96
248,2,train,34,0.4994897079656495,73.39
249,2,val,34,2.526621171988939,34.83
250,2,train,35,0.4731047751583493,80.22
251,2,val,35,2.84716859459877,40.11
252,2,train,36,0.4322203563865382,82.53
253,2,val,36,2.9118056441608227,40.77
254,2,train,37,0.42819143475910604,73.74
255,2,val,37,2.4323413121072868,32.35
256,2,train,38,0.3924935863532696,83.73
257,2,val,38,2.90562012007362,31.86
258,2,train,39,0.38773438310874797,86.5
259,2,val,39,3.5800329186414417,40.11
260,2,train,40,0.3611962554440649,80.51
261,2,val,40,3.50419595617997,37.8
262,2,train,41,0.34186358838329844,87.41
263,2,val,41,2.914099313710865,32.35
264,2,train,42,0.3277068987026771,78.25
265,2,val,42,3.2287993613042327,36.32
266,2,train,43,0.3150781252001238,86.37
267,2,val,43,2.779091801768855,30.7
268,2,train,44,0.29009812251028255,86.83
269,2,val,44,2.9067634808389764,46.05
270,3,train,0,1.4131597236927123,17.11
271,3,val,0,1.4141551085880824,13.77
272,3,train,1,1.3922212396215832,16.61
273,3,val,1,1.4599511276234638,12.56
274,3,train,2,1.3764548485335109,39.74
275,3,val,2,1.4723543040045015,31.15
276,3,train,3,1.3409610860652774,30.29
277,3,val,3,1.4827991422716078,35.28
278,3,train,4,1.288706468539823,34.69
279,3,val,4,1.4696405343302004,25.65
280,3,train,5,1.2521075751856163,28.07
281,3,val,5,1.5066461713759454,18.93
282,3,train,6,1.2000702725378092,30.19
283,3,val,6,1.5024530353781942,23.06
284,3,train,7,1.147847715463713,44.35
285,3,val,7,1.4285127451786628,28.74
286,3,train,8,1.1078309163101037,27.19
287,3,val,8,1.5139535858735933,27.02
288,3,train,9,1.0737587369141939,41.87
289,3,val,9,1.5261504705790634,32.87
290,3,train,10,1.0367118303053684,42.82
291,3,val,10,1.5920100402046036,30.64
292,3,train,11,1.0029730045919942,42.53
293,3,val,11,1.493798520538833,37.35
294,3,train,12,0.9708099045034488,30.42
295,3,val,12,1.8267210233997513,16.7
